day,Calopeia
5/19/70,43
5/20/70,62
5/21/70,52
5/22/70,48
5/23/70,83
5/24/70,45
5/25/70,42
5/26/70,83
5/27/70,57
5/28/70,61
5/29/70,81
5/30/70,59
5/31/70,51
6/1/70,68
6/2/70,101
6/3/70,80
6/4/70,43
6/5/70,64
6/6/70,89
6/7/70,94
6/8/70,49
6/9/70,77
6/10/70,74
6/11/70,56
6/12/70,54
6/13/70,67
6/14/70,83
6/15/70,56
6/16/70,70
6/17/70,58
6/18/70,76
6/19/70,74
6/20/70,46
6/21/70,80
6/22/70,48
6/23/70,67
6/24/70,104
6/25/70,41
6/26/70,81
6/27/70,70
6/28/70,69
6/29/70,133
6/30/70,56
7/1/70,56
7/2/70,88
7/3/70,64
7/4/70,58
7/5/70,80
7/6/70,96
7/7/70,60
7/8/70,100
7/9/70,74
7/10/70,44
7/11/70,77
7/12/70,99
7/13/70,109
7/14/70,62
7/15/70,70
7/16/70,56
7/17/70,74
7/18/70,60
7/19/70,36
7/20/70,72
7/21/70,78
7/22/70,62
7/23/70,84
7/24/70,81
7/25/70,67
7/26/70,92
7/27/70,110
7/28/70,41
7/29/70,57
7/30/70,52
7/31/70,96
8/1/70,65
8/2/70,88
8/3/70,44
8/4/70,65
8/5/70,76
8/6/70,73
8/7/70,64
8/8/70,40
8/9/70,64
8/10/70,56
8/11/70,78
8/12/70,43
8/13/70,78
8/14/70,64
8/15/70,67
8/16/70,80
8/17/70,40
8/18/70,71
8/19/70,84
8/20/70,29
8/21/70,53
8/22/70,72
8/23/70,39
8/24/70,63
8/25/70,83
8/26/70,31
8/27/70,57
8/28/70,44
8/29/70,34
8/30/70,97
8/31/70,30
9/1/70,42
9/2/70,83
9/3/70,29
9/4/70,73
9/5/70,67
9/6/70,42
9/7/70,67
9/8/70,32
9/9/70,37
9/10/70,44
9/11/70,58
9/12/70,50
9/13/70,34
9/14/70,69
9/15/70,47
9/16/70,44
9/17/70,46
9/18/70,45
9/19/70,77
9/20/70,74
9/21/70,42
9/22/70,22
9/23/70,88
9/24/70,70
9/25/70,43
9/26/70,47
9/27/70,46
9/28/70,44
9/29/70,53
9/30/70,38
10/1/70,44
10/2/70,37
10/3/70,10
10/4/70,40
10/5/70,26
10/6/70,16
10/7/70,24
10/8/70,38
10/9/70,33
10/10/70,38
10/11/70,67
10/12/70,22
10/13/70,12
10/14/70,33
10/15/70,33
10/16/70,44
10/17/70,27
10/18/70,58
10/19/70,20
10/20/70,29
10/21/70,18
10/22/70,62
10/23/70,10
10/24/70,4
10/25/70,23
10/26/70,14
10/27/70,34
10/28/70,10
10/29/70,10
10/30/70,14
10/31/70,16
11/1/70,10
11/2/70,18
11/3/70,12
11/4/70,36
11/5/70,20
11/6/70,3
11/7/70,12
11/8/70,18
11/9/70,9
11/10/70,6
11/11/70,26
11/12/70,13
11/13/70,16
11/14/70,10
11/15/70,7
11/16/70,6
11/17/70,20
11/18/70,13
11/19/70,6
11/20/70,38
11/21/70,18
11/22/70,7
11/23/70,6
11/24/70,5
11/25/70,13
11/26/70,19
11/27/70,24
11/28/70,6
11/29/70,18
11/30/70,2
12/1/70,10
12/2/70,12
12/3/70,11
12/4/70,5
12/5/70,4
12/6/70,26
12/7/70,2
12/8/70,14
12/9/70,31
12/10/70,28
12/11/70,5
12/12/70,3
12/13/70,4
12/14/70,4
12/15/70,10
12/16/70,3
12/17/70,2
12/18/70,3
12/19/70,29
12/20/70,15
12/21/70,4
12/22/70,5
12/23/70,7
12/24/70,1
12/25/70,41
12/26/70,3
12/27/70,3
12/28/70,6
12/29/70,12
12/30/70,10
12/31/70,14
1/1/71,5
1/2/71,4
1/3/71,9
1/4/71,9
1/5/71,1
1/6/71,29
1/7/71,6
1/8/71,4
1/9/71,1
1/10/71,13
1/11/71,2
1/12/71,2
1/13/71,26
1/14/71,6
1/15/71,2
1/16/71,18
1/17/71,11
1/18/71,9
1/19/71,7
1/20/71,31
1/21/71,18
1/22/71,30
1/23/71,2
1/24/71,8
1/25/71,15
1/26/71,26
1/27/71,6
1/28/71,16
1/29/71,13
1/30/71,10
1/31/71,4
2/1/71,21
2/2/71,11
2/3/71,5
2/4/71,4
2/5/71,18
2/6/71,21
2/7/71,24
2/8/71,4
2/9/71,5
2/10/71,12
2/11/71,18
2/12/71,10
2/13/71,9
2/14/71,33
2/15/71,22
2/16/71,63
2/17/71,25
2/18/71,19
2/19/71,20
2/20/71,15
2/21/71,21
2/22/71,25
2/23/71,15
2/24/71,23
2/25/71,16
2/26/71,19
2/27/71,18
2/28/71,22
3/1/71,23
3/2/71,27
3/3/71,19
3/4/71,47
3/5/71,15
3/6/71,5
3/7/71,17
3/8/71,39
3/9/71,16
3/10/71,43
3/11/71,19
3/12/71,51
3/13/71,27
3/14/71,28
3/15/71,48
3/16/71,14
3/17/71,26
3/18/71,46
3/19/71,38
3/20/71,13
3/21/71,19
3/22/71,48
3/23/71,37
3/24/71,49
3/25/71,40
3/26/71,49
3/27/71,37
3/28/71,38
3/29/71,46
3/30/71,31
3/31/71,41
4/1/71,16
4/2/71,23
4/3/71,26
4/4/71,40
4/5/71,47
4/6/71,25
4/7/71,26
4/8/71,51
4/9/71,28
4/10/71,46
4/11/71,45
4/12/71,43
4/13/71,26
4/14/71,50
4/15/71,26
4/16/71,64
4/17/71,33
4/18/71,57
4/19/71,38
4/20/71,36
4/21/71,40
4/22/71,36
4/23/71,79
4/24/71,43
4/25/71,47
4/26/71,57
4/27/71,37
4/28/71,30
4/29/71,38
4/30/71,79
5/1/71,46
5/2/71,42
5/3/71,43
5/4/71,58
5/5/71,49
5/6/71,42
5/7/71,59
5/8/71,72
5/9/71,48
5/10/71,55
5/11/71,59
5/12/71,32
5/13/71,32
5/14/71,92
5/15/71,51
5/16/71,39
5/17/71,24
5/18/71,71
5/19/71,88
5/20/71,38
5/21/71,59
5/22/71,55
5/23/71,55
5/24/71,75
5/25/71,28
5/26/71,90
5/27/71,27
5/28/71,32
5/29/71,58
5/30/71,78
5/31/71,48
6/1/71,97
6/2/71,106
6/3/71,53
6/4/71,43
6/5/71,59
6/6/71,28
6/7/71,70
6/8/71,72
6/9/71,80
6/10/71,53
6/11/71,52
6/12/71,64
6/13/71,66
6/14/71,62
6/15/71,66
6/16/71,94
6/17/71,88
6/18/71,37
6/19/71,71
6/20/71,89
6/21/71,83
6/22/71,72
6/23/71,86
6/24/71,53
6/25/71,72
6/26/71,107
6/27/71,42
6/28/71,76
6/29/71,44
6/30/71,45
7/1/71,63
7/2/71,53
7/3/71,98
7/4/71,89
7/5/71,92
7/6/71,51
7/7/71,79
7/8/71,95
7/9/71,108
7/10/71,61
7/11/71,47
7/12/71,73
7/13/71,64
7/14/71,45
7/15/71,64
7/16/71,74
7/17/71,75
7/18/71,59
7/19/71,52
7/20/71,71
7/21/71,44
7/22/71,59
7/23/71,48
7/24/71,76
7/25/71,62
7/26/71,41
7/27/71,49
7/28/71,72
7/29/71,81
7/30/71,101
7/31/71,103
8/1/71,35
8/2/71,96
8/3/71,77
8/4/71,57
8/5/71,81
8/6/71,74
8/7/71,52
8/8/71,73
8/9/71,58
8/10/71,93
8/11/71,33
8/12/71,42
8/13/71,59
8/14/71,75
8/15/71,34
8/16/71,77
8/17/71,64
8/18/71,57
8/19/71,91
8/20/71,74
8/21/71,84
8/22/71,30
8/23/71,35
8/24/71,45
8/25/71,55
8/26/71,53
8/27/71,64
8/28/71,56
8/29/71,75
8/30/71,80
8/31/71,30
9/1/71,60
9/2/71,71
9/3/71,60
9/4/71,50
9/5/71,66
9/6/71,67
9/7/71,46
9/8/71,48
9/9/71,71
9/10/71,68
9/11/71,22
9/12/71,36
9/13/71,41
9/14/71,36
9/15/71,58
9/16/71,63
9/17/71,29
9/18/71,29
9/19/71,42
9/20/71,75
9/21/71,85
9/22/71,61
9/23/71,47
9/24/71,39
9/25/71,49
9/26/71,54
9/27/71,25
9/28/71,32
9/29/71,31
9/30/71,36
10/1/71,48
10/2/71,32
10/3/71,50
10/4/71,21
10/5/71,34
10/6/71,49
10/7/71,18
10/8/71,33
10/9/71,30
10/10/71,35
10/11/71,18
10/12/71,33
10/13/71,26
10/14/71,34
10/15/71,34
10/16/71,30
10/17/71,37
10/18/71,65
10/19/71,16
10/20/71,15
10/21/71,17
10/22/71,14
10/23/71,54
10/24/71,17
10/25/71,33
10/26/71,12
10/27/71,15
10/28/71,21
10/29/71,16
10/30/71,24
10/31/71,19
11/1/71,10
11/2/71,26
11/3/71,39
11/4/71,23
11/5/71,14
11/6/71,16
11/7/71,26
11/8/71,21
11/9/71,29
11/10/71,7
11/11/71,13
11/12/71,40
11/13/71,4
11/14/71,22
11/15/71,9
11/16/71,11
11/17/71,29
11/18/71,13
11/19/71,56
11/20/71,12
11/21/71,19
11/22/71,12
11/23/71,26
11/24/71,11
11/25/71,21
11/26/71,9
11/27/71,11
11/28/71,6
11/29/71,8
11/30/71,10
12/1/71,12
12/2/71,3
12/3/71,38
12/4/71,11
12/5/71,13
12/6/71,2
12/7/71,23
12/8/71,9
12/9/71,5
12/10/71,10
12/11/71,9
12/12/71,10
12/13/71,11
12/14/71,9
12/15/71,5
12/16/71,6
12/17/71,27
12/18/71,3
12/19/71,1
12/20/71,4
12/21/71,27
12/22/71,2
12/23/71,13
12/24/71,1
12/25/71,27
12/26/71,3
12/27/71,17
12/28/71,2
12/29/71,8
12/30/71,4
12/31/71,10
